4000.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0390722717941154
3952.5518,787.3717,395.64752,395.64752,395.64752,395.64752,395.64752,395.64752,395.64752,395.64752,,0.9916426214076562
2838.9036,33.684425,400.7456,400.7456,400.7456,400.7456,400.7456,400.7456,400.7456,,,0.9565762316220877
2820.0713,417.41623,400.4425,400.4425,400.4425,400.4425,400.4425,400.4425,,,,0.9472492062414445
2396.6501,393.60352,400.6093,400.6093,400.6093,400.6093,400.6093,,,,,0.932178498319605
2111.8804,526.85657,396.25595,396.25595,396.25595,396.25595,,,,,,0.8454973562691197
1702.0337,535.20514,388.94284,388.94284,388.94284,,,,,,,0.6784566708063846
1226.029,461.29907,382.36502,382.36502,,,,,,,,0.4039184376703924
793.53357,418.36945,375.16412,,,,,,,,,0.02546423180016093
418.41946,418.41946,,,,,,,,,,-0.5626059828770965
3000.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0653773631891215
2855.7734,471.1585,298.07687,298.07687,298.07687,298.07687,298.07687,298.07687,298.07687,298.07687,,1.0563586545017516
2421.7925,339.32074,297.49597,297.49597,297.49597,297.49597,297.49597,297.49597,297.49597,,,1.0250732984766302
2138.8586,360.7874,296.3452,296.3452,296.3452,296.3452,296.3452,296.3452,,,,0.9928478474577496
1872.0602,403.38806,293.7344,293.7344,293.7344,293.7344,293.7344,,,,,0.9467148879360336
1496.7759,326.33493,292.61026,292.61026,292.61026,292.61026,,,,,,0.891190139980167
1256.1333,394.36984,287.2545,287.2545,287.2545,,,,,,,0.800918867613521
1019.82477,480.44052,269.6921,269.6921,,,,,,,,0.6117677969122454
562.2967,298.3327,263.964,,,,,,,,,0.3164608908262633
4000.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,1.0121970181484852
3650.2327,455.194,399.37985,399.37985,399.37985,399.37985,399.37985,399.37985,399.37985,399.37985,,0.9826385316550138
3128.9524,326.06522,400.41245,400.41245,400.41245,400.41245,400.41245,400.41245,400.41245,,,0.9539844852493622
2760.7173,353.0791,401.27304,401.27304,401.27304,401.27304,401.27304,401.27304,,,,0.9278049773357067
